Year,Week_Number,mean_return,volatility,True Label
2018,0,3.1228,3.686577912,undefined
2018,1,0.6998,1.185281486,undefined
2018,2,0.0308,3.744013782,undefined
2018,3,1.80825,2.142736471,undefined
2018,4,-1.6054,3.565403245,undefined
2018,5,1.2958,2.280344426,undefined
2018,6,-0.2405,3.024074349,undefined
2018,7,-0.3142,2.246717984,undefined
2018,8,-0.63375,1.505031201,undefined
2018,9,-4.69,3.945820447,undefined
2018,10,0.5994,3.232891941,undefined
2018,11,-1.0056,2.106185248,undefined
2018,12,0.957333333,5.590492137,undefined
2018,13,2.6604,7.816789418,undefined
2018,14,-1.383,3.096958669,undefined
2018,15,-0.2194,2.548829986,undefined
2018,16,0.5962,1.396819852,undefined
2018,17,-2.749,3.412303914,undefined
2018,18,0.2058,2.069599043,undefined
2018,19,-1.4692,1.842762247,undefined
2018,20,1.071,3.411838727,undefined
2018,21,-0.8178,3.085984883,undefined
2018,22,1.1488,3.344244563,undefined
2018,23,0.9696,1.894297574,undefined
2018,24,-0.3022,2.050880348,undefined
2018,25,-2.6554,5.692180716,undefined
2018,26,-0.3108,4.45733353,undefined
2018,27,3.5326,3.695019256,undefined
2018,28,4.3842,2.608500374,undefined
2018,29,3.8958,4.50104479,undefined
2018,30,0.2356,1.316186461,undefined
2018,31,0.1422,3.23424577,undefined
2018,32,0.5125,2.661289224,undefined
2018,33,0.72725,2.704964987,undefined
2018,34,1.5944,4.14103155,undefined
2018,35,2.1464,10.88224611,undefined
2018,36,-1.068,2.39945216,undefined
2018,37,-2.0465,2.989583304,undefined
2018,38,-1.0612,4.932153151,undefined
2018,39,-0.03225,3.47905738,undefined
2018,40,2.0668,3.640807287,undefined
2018,41,4.0795,1.449012192,undefined
2018,42,-0.2196,2.156608982,undefined
2018,43,1.0546,1.935668696,undefined
2018,44,-1.331,2.293085694,undefined
2018,45,-0.5742,1.995054185,undefined
2018,46,-0.4555,1.07602153,undefined
2018,47,0.8686,3.988567763,undefined
2018,48,-1.4836,2.638818353,undefined
2018,49,0.6282,4.587914635,undefined
2018,50,0.2868,0.722944811,undefined
2018,51,0.3475,1.061031102,undefined
2018,52,-0.34,0,undefined
2019,0,-1.335,0.988168339,undefined
2019,1,-0.1264,1.684223649,undefined
2019,2,-0.6302,1.096956107,undefined
2019,3,-1.3064,1.469149346,undefined
2019,4,0.8388,2.730920852,undefined
2019,5,-2.6752,6.337995401,undefined
2019,6,-0.78025,2.697927523,undefined
2019,7,1.3888,3.519545667,undefined
2019,8,0.9168,2.597971651,undefined
2019,9,0.85075,3.622212342,undefined
2019,10,0.5734,3.619488058,undefined
2019,11,-0.633,1.436965089,undefined
2019,12,-0.06025,2.37828571,undefined
2019,13,1.3786,4.902091166,undefined
2019,14,-0.7372,2.4079989,undefined
2019,15,-0.648333333,2.193562019,undefined
2019,16,-1.0418,2.204592411,undefined
2019,17,-0.774,2.340502724,undefined
2019,18,-1.3244,1.025151355,undefined
2019,19,-0.0644,3.631482659,undefined
2019,20,6.071,12.08947933,undefined
2019,21,-0.2012,1.640189837,undefined
2019,22,-0.533,2.364588054,undefined
2019,23,0.1518,1.315029924,undefined
2019,24,-0.7172,2.97275263,undefined
2019,25,0.5092,1.58855428,undefined
2019,26,-0.3906,3.054819029,undefined
2019,27,-0.934,2.918061257,undefined
2019,28,-1.2906,1.687848423,undefined
2019,29,0.0856,2.064582597,undefined
2019,30,-0.4852,2.737175862,undefined
2019,31,0.6982,2.988312601,undefined
2019,32,0.122333333,1.639926319,undefined
2019,33,-0.1964,3.075343363,undefined
2019,34,0.9334,2.673709932,undefined
2019,35,0.07875,1.27589142,undefined
2019,36,1.4285,1.379195297,undefined
2019,37,0.4786,2.427340994,undefined
2019,38,0.0766,2.731120429,undefined
2019,39,-1.615,1.120278834,undefined
2019,40,-0.53075,2.225334338,undefined
2019,41,5.065,2.664704862,undefined
2019,42,0.8815,1.443972645,undefined
2019,43,2.0556,2.657226054,undefined
2019,44,0.7572,1.601979931,undefined
2019,45,-0.4855,3.722144767,undefined
2019,46,-0.003,1.731793435,undefined
2019,47,1.1344,2.924410163,undefined
2019,48,-0.78,1.881320946,undefined
2019,49,0.5532,1.326041364,undefined
2019,50,0.6318,2.0929586,undefined
2019,51,-1.12075,1.303422514,undefined
2019,52,-0.1795,0.050204581,undefined
2020,0,-0.000333333,1.506863077,undefined
2020,1,0.1118,2.954672012,undefined
2020,2,1.7882,1.314394614,undefined
2020,3,0.1228,1.099987591,undefined
2020,4,-0.024,0.740104047,undefined
2020,5,0.8996,3.108192208,undefined
2020,6,1.3558,0.78719483,undefined
2020,7,0.2555,1.817352011,undefined
2020,8,-3.2792,2.473984984,undefined
2020,9,-0.335,2.471615362,undefined
2020,10,-8.60375,6.3207967,undefined
2020,11,-1.396,5.782609791,undefined
2020,12,-0.9942,8.723014169,undefined
2020,13,0.28775,4.768109575,undefined
2020,14,3.388666667,3.55002216,undefined
2020,15,0.2635,1.650832214,undefined
2020,16,-1.2448,4.27186203,undefined
