Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
90.34461975,92.55147552,89.90869904,90.48085022,89.0827179,7745247,0,1/1/2018,0,2018,1,Monday,3.1228,3.686577912
90.50809479,91.21646881,88.35573578,89.30931091,87.92927551,4977129,-1.295,1/2/2018,0,2018,2,Tuesday,3.1228,3.686577912
89.30931091,98.21844482,89.30931091,96.01159668,94.52799988,39032205,7.505,1/3/2018,0,2018,3,Wednesday,3.1228,3.686577912
95.90261841,100.9157104,94.89454651,99.88039398,98.33701324,22778210,4.03,1/4/2018,0,2018,4,Thursday,3.1228,3.686577912
100.6977463,105.8743057,99.38998413,105.247673,103.6213608,21144683,5.374,1/5/2018,0,2018,5,Friday,3.1228,3.686577912
104.9479752,109.5251465,104.7845078,107.045845,105.3917313,15147523,1.708,1/8/2018,1,2018,8,Monday,0.6998,1.185281486
107.8904419,108.4080963,105.7653275,106.7461472,105.0966721,8653790,-0.28,1/9/2018,1,2018,9,Tuesday,0.6998,1.185281486
106.8551331,111.0781174,106.8006363,108.3263626,106.6524658,21411711,1.48,1/10/2018,1,2018,10,Wednesday,0.6998,1.185281486
107.8904419,110.9963837,106.5554352,109.9065781,108.2082596,10238800,1.459,1/11/2018,1,2018,11,Thursday,0.6998,1.185281486
110.0700455,111.0236282,105.8470612,108.9530029,107.2694244,9577781,-0.868,1/12/2018,1,2018,12,Friday,0.6998,1.185281486
109.5251465,110.1790314,107.5090103,107.9994202,106.3305817,5453962,-0.875,1/15/2018,2,2018,15,Monday,0.0308,3.744013782
108.2718735,108.4898376,102.5504074,106.0377808,104.3992538,13454300,-1.816,1/16/2018,2,2018,16,Tuesday,0.0308,3.744013782
105.8198166,112.0861816,102.38694,111.459549,109.7372437,17383941,5.113,1/17/2018,2,2018,17,Wednesday,0.0308,3.744013782
112.2496567,113.0670013,102.8228607,106.3919678,104.7479553,24303136,-4.547,1/18/2018,2,2018,18,Thursday,0.0308,3.744013782
106.3919678,109.5251465,102.741127,108.8167725,107.1352997,25753085,2.279,1/19/2018,2,2018,19,Friday,0.0308,3.744013782
107.8904419,110.2607651,106.8006363,108.3808517,106.7061234,10534230,-0.401,1/22/2018,3,2018,22,Monday,1.80825,2.142736471
108.6533051,111.8409805,106.8551331,111.3778076,109.6567612,13877472,2.765,1/23/2018,3,2018,23,Tuesday,1.80825,2.142736471
111.3233185,113.0942535,108.9802475,111.9772034,110.2468948,14325102,0.538,1/24/2018,3,2018,24,Wednesday,1.80825,2.142736471
111.7047501,117.562439,109.9610672,116.8268204,115.0215759,24286217,4.331,1/25/2018,3,2018,25,Thursday,1.80825,2.142736471
117.4807053,120.1507187,114.7561951,116.2546768,114.4582596,14632536,-0.49,1/29/2018,4,2018,29,Monday,-1.6054,3.565403245
114.9741592,116.3636551,113.0670013,115.1376266,113.3584747,7873404,-0.961,1/30/2018,4,2018,30,Tuesday,-1.6054,3.565403245
114.4020157,119.1971436,113.966095,116.1729431,114.3778076,14190496,0.899,1/31/2018,4,2018,31,Wednesday,-1.6054,3.565403245
116.0639572,118.270813,110.9963837,116.6088638,114.8069839,9002862,0.375,2/1/2018,4,2018,1,Thursday,-1.6054,3.565403245
116.0639572,116.0639572,106.3102264,107.4545212,105.7941055,12747646,-7.85,2/2/2018,4,2018,2,Friday,-1.6054,3.565403245
100.8612137,109.5251465,100.0983582,108.6805496,107.0011826,11825552,1.141,2/5/2018,5,2018,5,Monday,1.2958,2.280344426
100.8067245,107.9994202,99.55345154,106.4192123,104.7747879,10865044,-2.081,2/6/2018,5,2018,6,Tuesday,1.2958,2.280344426
108.7350388,110.4787216,106.3102264,107.2093124,105.5526733,7308821,0.742,2/7/2018,5,2018,7,Wednesday,1.2958,2.280344426
108.0266647,112.3313904,107.2910538,111.4323044,109.7104187,8147287,3.939,2/8/2018,5,2018,8,Thursday,1.2958,2.280344426
108.9802475,115.4373245,107.6997299,114.4837494,112.7147141,11122413,2.738,2/9/2018,5,2018,9,Friday,1.2958,2.280344426
115.0831375,119.4968414,115.0831375,118.3797913,116.5505447,13340428,3.403,2/12/2018,6,2018,12,Monday,-0.2405,3.024074349
119.0609207,121.7854233,118.107338,119.5785751,117.7308044,12691224,1.013,2/14/2018,6,2018,14,Wednesday,-0.2405,3.024074349
120.4776611,121.322258,114.7834396,117.01754,115.2093582,9129656,-2.142,2/15/2018,6,2018,15,Thursday,-0.2405,3.024074349
117.5896835,119.0336761,111.5957718,113.2304764,111.4807968,10018309,-3.236,2/16/2018,6,2018,16,Friday,-0.2405,3.024074349
